login_Attempts,failed_Validations,avg_flow,current_flow,packets_flow,botnet
9,5,500,326,9,0
5,10,530,597,13,0
4,6,530,1014,1,1
4,11,530,963,14,1
1,11,530,692,1,0
4,3,550,1143,13,0
10,7,550,861,4,1
0,10,550,1093,3,1
1,6,550,1013,6,1
4,7,500,1061,4,0
3,2,550,593,11,0
10,12,550,831,9,1
9,1,500,372,9,1
0,0,500,360,11,1
9,8,550,1152,3,1
1,4,550,827,6,1
2,4,550,1166,13,0
9,8,550,846,15,1
7,2,550,1010,1,0
4,5,530,529,9,1
8,11,550,920,10,1
8,12,530,376,10,1
6,0,550,1143,5,1
9,6,530,664,5,0
8,2,530,1156,7,0
1,3,550,1344,2,0
9,6,500,825,15,1
7,2,500,397,3,0
10,7,530,512,7,1
6,7,500,815,13,1
5,8,500,1021,1,1
9,11,530,779,7,1
2,9,530,743,11,0
1,2,550,388,14,1
0,12,530,574,12,0
7,11,550,726,10,1
8,6,500,876,14,1
0,2,500,441,8,1
1,3,530,1287,5,0
0,4,530,1304,9,0
0,8,550,1154,13,0
10,11,530,1136,8,1
7,10,530,1174,2,1
8,6,550,933,4,1
5,4,550,842,14,1
10,1,500,517,9,0
9,2,530,846,5,1
6,0,500,398,4,1
0,12,550,839,3,1
1,0,550,509,3,1
7,12,550,438,9,1
4,1,550,966,8,0
10,11,500,948,3,1
8,1,530,850,15,1
8,4,550,1304,2,1
5,7,550,1250,10,1
5,4,500,1095,5,0
0,1,500,523,14,0
2,9,550,917,8,1
7,10,500,1048,1,1
5,7,550,685,8,1
0,10,550,1165,9,0
10,12,500,992,10,1
3,10,530,1029,7,0
10,12,530,1090,3,1
6,9,530,1001,11,1
4,6,550,431,4,1
6,1,500,345,11,0
8,0,550,1215,12,1
7,12,550,675,3,1
6,9,500,523,2,0
4,12,530,525,4,1
3,1,550,541,1,1
5,0,530,1215,1,1
9,7,550,559,2,1
3,10,550,1297,13,1
6,12,550,382,6,0
2,10,530,1312,10,1
1,12,500,398,13,0
6,6,500,456,11,1
1,3,530,788,11,0
0,11,500,320,15,1
4,10,530,988,9,0
2,10,500,869,12,1
1,12,550,1181,1,0
7,11,530,600,12,1
10,7,530,1314,1,1
4,7,550,376,14,1
3,6,550,698,12,0
7,11,530,1228,4,1
8,6,500,1193,12,1
3,3,500,977,9,1
5,5,500,416,2,1
7,10,500,1020,8,1
4,1,530,649,2,1
5,10,500,1028,1,1
5,8,550,563,3,1
8,0,500,345,15,1
5,5,500,1013,8,1
1,11,500,301,1,0
8,12,530,1258,13,1
3,9,530,432,2,1
6,9,530,451,2,0
1,9,550,777,1,1
10,12,550,984,6,1
8,5,500,658,15,1
8,1,530,1189,14,1
10,6,550,433,4,1
9,5,530,1224,3,0
8,11,530,343,11,1
5,11,550,873,13,0
2,9,550,916,14,1
7,12,550,658,7,1
2,11,530,1295,2,0
5,4,500,358,3,1
9,2,550,794,13,1
0,6,500,1161,5,0
9,12,500,815,12,1
3,11,530,1018,3,1
8,3,530,446,2,1
3,1,550,767,4,1
6,9,550,720,10,1
5,12,550,586,2,1
4,0,550,1143,8,1
6,9,530,663,2,0
4,4,530,882,14,1
7,6,500,383,2,0
5,0,550,1206,9,1
1,2,500,560,15,0
7,11,500,1218,15,1
10,9,550,979,14,1
9,12,530,1173,14,1
8,0,500,575,8,0
0,8,530,1309,12,0
10,4,550,1346,12,0
0,0,550,1068,6,1
10,12,530,663,2,0
4,3,530,1126,1,0
2,5,500,1056,11,0
0,0,550,555,12,0
9,3,500,541,8,0
10,1,500,605,13,0
6,7,550,776,2,1
6,11,530,1181,7,1
3,1,530,1221,7,1
1,4,500,1075,13,1
5,4,550,435,15,1
0,6,550,567,11,0
9,1,530,474,10,1
7,0,550,1189,9,1
3,0,500,446,15,1
4,4,500,901,14,1
1,1,530,904,9,0
8,8,500,884,5,1
8,10,530,710,6,1
3,5,550,803,2,1
8,6,550,714,11,1
0,7,530,1151,7,0
4,0,530,1040,15,0
2,11,500,772,1,0
0,2,530,1315,11,0
7,9,530,1271,9,1
2,4,530,657,2,1
4,12,530,994,12,0
1,4,550,649,4,0
10,6,530,1143,2,1
10,10,500,320,7,0
6,4,550,1142,4,0
2,3,500,440,6,0
1,12,500,863,14,0
2,7,530,749,14,1
1,0,500,943,10,0
10,6,550,457,10,0
6,7,500,1237,13,1
9,7,530,1104,6,1
0,11,500,661,15,0
6,5,530,606,6,1
8,9,500,1082,10,1
7,9,500,936,10,1
7,7,500,453,11,0
3,1,550,961,12,0
9,8,530,1244,4,1
9,0,550,591,5,0
0,2,530,1002,7,0
0,5,500,954,3,1
6,10,530,1298,14,1
8,8,530,649,3,0
4,1,550,903,6,0
6,8,500,758,7,1
7,11,530,860,4,1
9,5,530,617,7,0
3,7,500,652,4,0
8,7,500,1190,6,1
8,6,500,860,12,1
1,11,500,727,11,1
4,7,530,1041,2,0
5,11,500,357,3,1
5,1,550,521,2,1
0,2,530,800,14,1
7,5,530,877,5,0
8,6,530,775,14,1
8,6,500,699,12,1
3,2,530,566,7,1
2,7,530,846,4,1
7,11,500,932,14,1
4,3,530,735,2,1
6,0,500,1083,12,1
3,1,500,953,4,0
6,1,500,877,9,0
1,10,500,1268,1,0
2,3,530,736,10,1
1,6,530,748,6,0
5,11,500,543,10,1
0,9,530,923,13,0
7,9,530,791,6,1
2,6,530,402,15,0
2,1,550,479,3,1
3,1,530,866,2,0
5,0,550,1131,1,1
5,12,550,832,9,1
8,12,500,781,8,1
4,1,500,378,4,0
3,1,500,1127,15,1
10,1,550,816,15,0
4,2,530,1107,9,1
10,1,500,1226,8,0
8,6,550,1254,3,1
