login_Attempts,failed_Validations,avg_flow,current_flow,packets_flow,botnet
10,12,550,1429,3,1
7,9,530,231,17,1
9,8,530,1516,12,1
9,6,500,358,7,0
0,9,500,497,4,0
3,3,530,1425,13,1
10,12,550,1391,9,1
9,8,550,259,10,1
0,9,550,299,19,1
6,9,500,345,19,1
0,6,530,810,15,0
1,0,550,910,17,0
4,2,550,1433,11,0
8,8,530,492,18,0
5,12,550,708,7,0
2,3,530,1355,10,1
3,7,500,552,4,0
7,0,550,1343,9,1
0,11,530,1185,5,0
4,7,530,296,12,0
2,5,530,1383,12,1
0,2,530,345,8,1
9,3,500,486,15,0
9,8,550,1161,12,1
0,11,550,486,19,0
4,3,500,485,20,1
1,7,550,1049,1,1
5,3,530,738,14,0
6,1,500,560,2,1
8,0,550,1084,20,0
9,3,530,540,6,1
10,5,500,443,10,1
0,9,530,823,13,0
7,9,530,363,3,1
3,8,550,827,2,0
3,1,530,1022,1,1
0,5,530,610,20,1
8,5,500,1340,2,0
1,3,500,1302,4,0
3,1,500,646,6,0
10,1,550,716,19,1
1,9,500,841,11,1
7,8,550,332,9,0
8,11,530,1112,7,1
0,3,550,1034,5,1
3,12,530,1484,18,0
3,12,550,768,14,0
5,4,530,1436,2,0
4,5,530,890,10,1
7,6,500,264,13,0
1,12,500,537,5,1
3,0,550,746,11,0
3,6,500,709,4,1
1,7,550,803,10,1
8,0,500,624,1,1
0,9,530,461,11,0
7,10,530,429,17,1
6,7,500,666,5,1
0,6,500,1231,13,0
6,10,500,607,3,0
4,3,500,431,14,1
3,2,550,748,19,0
4,4,530,749,10,0
0,7,500,528,2,1
2,0,530,1065,14,0
8,9,550,439,18,0
3,11,550,1019,13,1
1,10,530,1012,17,1
6,8,500,687,14,0
8,1,530,643,20,0
2,0,500,321,7,1
8,1,500,1221,8,1
6,6,550,505,11,0
1,1,500,412,15,0
1,2,550,337,12,1
10,4,500,895,3,0
2,6,500,1253,7,1
8,4,550,385,10,1
7,0,500,714,1,0
2,9,530,702,10,1
6,10,550,1339,9,1
8,3,530,463,12,1
8,1,500,1243,11,1
6,5,550,1374,4,0
3,3,530,765,3,0
5,4,530,1100,10,1
3,11,500,1140,20,0
6,3,500,725,3,0
9,6,530,765,2,1
1,2,550,1461,19,0
2,5,500,1299,6,0
3,2,500,939,17,0
1,3,500,962,15,1
5,12,500,600,6,1
10,5,550,327,11,1
9,4,500,699,10,0
10,0,530,483,13,1
10,12,550,1006,19,1
9,2,530,1151,19,0
4,3,500,1116,10,1
3,5,530,1513,7,1
2,0,500,811,6,0
8,3,500,747,12,0
5,11,550,412,14,0
5,9,500,404,6,0
3,7,550,845,18,1
8,4,530,1323,15,0
7,10,550,1193,7,1
4,9,530,721,14,1
9,4,530,1384,5,1
2,2,500,1052,12,0
8,0,530,858,4,0
8,6,530,1244,1,1
0,7,500,772,2,0
10,8,550,426,17,1
5,1,500,1041,5,1
8,1,530,327,16,0
6,5,550,820,10,1
2,0,550,526,20,1
3,3,530,605,8,1
5,3,530,1230,8,1
9,0,550,315,3,1
0,9,550,1023,7,1
8,10,530,938,19,1
10,7,530,237,9,1
4,7,550,1154,15,0
7,1,530,1057,20,1
1,6,550,1126,3,1
10,7,530,1158,1,1
6,7,500,1127,16,1
10,4,530,1195,14,0
8,11,550,1063,16,1
0,12,550,1262,13,0
5,9,550,496,5,1
0,3,500,1129,5,1
8,3,530,875,19,1
8,10,530,1172,12,1
8,4,530,1211,3,1
9,4,530,419,1,0
3,1,500,506,15,0
10,8,550,1449,17,1
4,11,550,1111,15,0
0,3,500,471,2,0
7,7,550,703,9,1
3,11,500,1167,3,1
8,5,550,1464,3,1
4,3,530,689,17,1
2,11,500,1430,18,1
5,10,550,656,2,0
5,3,500,1039,3,0
10,3,500,480,8,1
9,5,550,911,16,1
2,2,530,1528,9,1
6,8,550,882,19,1
3,7,530,905,8,0
8,0,500,1426,3,0
8,3,550,317,8,1
5,8,550,1528,16,0
0,11,550,1028,14,1
4,4,500,1212,9,1
3,2,500,681,1,0
6,7,530,403,15,0
2,9,500,605,8,1
5,3,500,378,4,1
3,5,500,778,12,1
1,10,550,1360,6,0
8,1,500,772,12,1
10,7,550,611,1,0
0,2,530,978,20,0
5,0,530,1110,8,0
0,9,550,590,17,0
9,10,530,611,9,0
4,0,500,1055,19,1
6,8,550,646,11,0
10,12,550,250,8,0
7,7,500,1332,12,1
0,12,530,332,5,0
10,6,530,1234,15,1
6,0,550,1099,18,0
0,3,530,714,19,1
7,3,500,531,19,0
6,1,550,354,10,0
10,12,530,1139,18,1
2,5,500,970,20,1
4,1,500,586,16,1
1,0,500,467,3,0
6,12,550,1235,5,1
4,0,550,472,6,1
5,10,530,649,3,0
8,4,530,1283,12,1
2,2,550,1314,8,1
9,10,500,1341,4,1
0,7,550,689,5,1
4,7,500,1416,15,0
9,11,530,1236,11,1
0,0,530,805,5,1
3,7,530,1062,4,0
1,4,530,672,3,1
3,9,550,612,10,0
5,10,500,1110,10,1
4,9,500,1258,6,1
8,0,500,276,15,0
0,12,530,297,5,0
0,12,530,594,19,0
1,12,550,1011,17,1
4,11,550,608,4,0
7,12,550,1158,15,1
1,10,550,758,17,1
1,7,530,991,19,0
4,7,500,856,5,1
2,10,500,466,13,0
5,4,530,624,7,0
0,7,500,757,12,1
2,2,530,849,12,1
5,6,530,1481,6,1
7,6,550,964,19,1
1,0,550,1223,18,0
3,6,500,362,16,1
7,3,500,536,17,0
7,2,550,692,5,1
6,1,530,912,3,1
9,4,530,925,15,1
1,7,530,342,8,0
6,2,500,224,5,1
4,12,500,387,9,1
3,2,530,932,8,0
1,3,530,1328,3,1
1,12,500,282,6,0
7,0,550,411,10,0
5,11,530,679,13,1
1,6,550,1153,14,0
6,10,530,962,7,1
4,6,500,1112,9,0
4,2,500,925,17,1
9,9,530,889,18,1
1,11,530,1241,15,1
3,12,550,1025,18,0
1,1,530,1328,9,1
8,0,530,1407,18,0
5,0,550,1361,18,0
5,4,500,1380,11,1
10,2,500,627,4,1
2,12,550,426,6,0
2,4,500,670,1,1
8,7,550,1155,15,1
6,4,500,434,13,0
7,11,550,680,9,0
2,2,500,1009,17,0
6,11,500,426,12,0
6,8,500,409,5,1
1,8,500,1389,11,1
5,0,500,1396,13,0
7,7,550,523,3,0
4,11,530,1318,4,0
10,2,500,248,10,1
4,9,530,1355,2,0
3,9,550,636,15,0
5,3,500,370,4,0
9,5,500,318,16,1
7,11,530,404,9,0
5,6,500,864,1,1
6,3,500,211,16,1
4,3,500,1451,15,1
10,7,500,1182,8,1
5,10,550,738,2,1
6,11,530,745,8,1
8,6,500,807,20,1
1,10,550,789,9,0
9,11,550,611,10,0
2,10,500,655,8,1
10,10,500,1272,15,1
3,5,530,788,9,1
9,0,530,234,20,1
10,7,530,1175,6,1
10,1,550,985,14,0
5,5,530,439,14,1
2,5,500,719,12,1
0,0,550,582,18,1
5,8,550,1525,16,0
10,9,530,1246,12,1
10,4,500,473,19,0
5,5,530,383,6,0
2,12,550,374,2,1
10,4,530,1159,8,0
7,3,550,1082,11,1
10,3,530,322,12,0
9,3,500,1379,10,1
4,7,530,1101,2,1
10,5,500,1378,3,1
9,3,500,1470,2,1
8,12,550,1229,20,1
4,2,550,967,17,1
3,12,500,1314,18,1
1,0,530,383,13,1
6,9,550,1314,9,1
4,9,500,553,13,0
3,4,550,1073,19,0
9,2,550,1382,7,1
6,9,500,604,14,1
9,3,550,1003,20,0
7,8,550,361,7,0
8,10,530,500,3,1
2,7,550,289,4,1
7,7,530,1257,3,1
1,8,500,670,20,0
4,4,530,910,6,0
9,7,550,1358,20,1
2,2,530,1073,6,1
3,8,500,505,5,1
10,2,530,1438,16,1
5,3,550,753,8,1
10,6,550,1187,10,1
10,1,550,503,9,0
9,5,500,984,4,1
8,10,500,1068,6,1
0,0,550,812,4,1
7,1,550,1369,7,0
0,6,530,396,17,0
8,12,500,1364,6,1
5,3,500,760,12,1
6,0,500,1162,15,1
3,1,500,1050,11,1
7,9,500,1493,2,1
6,3,550,1174,19,1
0,0,550,442,5,1
5,7,500,1463,3,1
10,10,530,1342,20,1
3,11,550,1295,19,1
7,6,530,604,3,1
6,2,550,1483,20,1
0,0,530,560,5,0
0,5,500,716,14,1
7,10,500,249,16,0
5,4,550,808,7,1
3,5,550,464,14,1
5,12,500,537,10,1
7,9,530,431,17,0
9,4,530,910,5,0
3,8,500,1427,7,0
9,1,500,407,2,0
9,5,530,383,11,1
10,12,550,479,20,0
5,3,550,845,3,1
4,1,530,1387,15,1
8,0,530,974,4,0
1,12,500,794,10,1
10,5,550,809,4,1
8,12,500,1080,13,1
3,6,500,1360,4,1
9,3,500,1460,14,0
5,5,500,1041,18,1
1,2,550,1400,15,0
10,8,550,1164,17,1
10,8,500,369,18,1
7,6,500,956,15,1
3,0,500,268,11,0
7,10,500,1145,3,1
9,0,550,587,16,0
1,5,550,524,4,1
7,2,530,1099,1,0
10,7,550,743,10,1
0,8,500,589,11,1
0,11,500,748,9,0
10,4,530,674,11,1
5,9,530,1505,11,1
1,1,550,761,11,1
3,5,550,1124,4,0
0,6,550,1223,6,1
0,5,530,1237,5,1
4,1,550,1212,13,1
2,2,500,1352,4,1
10,7,530,506,20,1
6,6,500,821,10,1
0,9,530,1036,16,1
4,12,500,1229,19,1
6,5,500,829,5,1
0,11,550,663,9,0
4,6,500,871,14,0
6,12,500,1470,8,1
4,1,500,845,12,1
5,5,500,920,11,1
2,9,530,1249,19,0
8,9,550,455,7,0
5,2,530,641,8,1
8,0,530,248,3,1
9,0,500,1145,2,0
5,0,530,322,16,1
0,4,500,1124,7,0
9,0,550,1542,5,1
2,6,530,1046,7,0
0,0,550,500,3,1
4,10,530,1397,9,1
0,12,500,535,9,0
2,5,500,1422,14,1
2,1,500,628,15,0
4,8,530,664,16,0
7,5,530,945,15,1
3,11,500,1272,13,0
5,3,500,834,10,0
2,2,530,435,8,0
3,10,550,1395,11,1
10,1,530,1509,17,0
1,12,550,1321,4,1
9,9,500,1006,20,1
0,2,500,1434,12,1
6,11,500,1094,6,1
9,0,550,1240,3,0
9,3,530,1167,12,0
10,5,550,1313,13,0
9,11,550,1480,16,1
0,9,530,1431,12,0
6,1,530,965,17,0
5,8,550,444,6,1
0,12,500,1122,4,1
9,6,500,1174,15,1
3,6,550,1087,20,1
3,11,500,591,1,0
5,5,500,604,3,1
7,1,530,1470,14,1
7,12,550,353,13,1
1,7,550,1455,6,0
3,11,550,1206,10,0
10,2,550,502,13,0
3,10,550,1166,19,0
4,2,530,395,14,1
0,3,550,456,11,0
2,4,500,1348,10,0
3,12,500,582,19,0
9,12,550,1549,16,1
2,6,550,1243,5,1
4,2,500,979,18,1
0,9,530,1267,11,1
1,10,550,943,18,0
10,4,500,770,9,0
5,2,500,1287,7,1
7,11,530,1172,17,1
1,3,530,1365,1,1
10,11,530,761,6,1
2,11,530,1347,13,0
4,0,530,1105,8,1
3,7,500,495,17,1
3,6,530,1059,11,0
10,7,550,1454,9,1
2,2,500,1457,17,1
6,8,550,856,14,1
3,11,550,1541,17,1
9,12,550,743,11,1
1,1,550,613,2,0
1,5,530,1157,20,0
3,2,500,783,8,0
6,7,550,359,8,0
7,11,530,268,17,0
3,4,530,1339,4,0
5,7,550,1039,2,1
10,11,530,325,5,0
9,7,530,1365,17,1
0,6,550,1240,10,1
9,4,530,1006,13,0
1,2,500,305,15,0
6,6,500,1048,9,1
7,3,530,1210,18,0
8,11,530,1464,7,1
8,2,530,1141,7,0
8,7,500,1076,17,1
0,4,530,1208,13,1
9,5,550,1345,13,1
5,5,500,1460,2,1
5,7,550,321,6,0
2,9,550,948,12,1
4,3,500,1350,9,0
4,9,550,632,4,0
9,1,500,475,20,1
5,3,500,1110,13,0
9,7,530,338,14,1
10,9,550,948,13,1
6,4,500,355,16,1
5,1,550,1162,7,1
1,12,530,1347,18,0
4,4,550,1098,8,0
8,3,530,708,20,0
8,3,500,1224,12,0
1,8,550,389,1,1
8,8,550,1463,12,1
0,10,530,1112,11,1
0,0,530,962,8,1
5,5,530,843,5,1
2,5,500,426,19,0
0,4,550,1336,8,1
10,0,530,1400,6,0
5,6,500,1467,4,0
0,10,530,1522,20,1
0,8,550,949,14,1
2,7,550,1045,1,0
7,0,550,709,8,1
1,3,530,1152,9,0
7,11,550,721,14,1
8,1,550,1523,10,1
3,7,530,1464,3,0
2,9,550,713,17,0
8,4,530,391,18,1
6,3,550,432,16,0
8,1,530,378,20,1
5,4,530,1113,6,1
9,9,530,1177,15,1
8,4,500,1089,5,0
10,11,550,720,4,1
10,1,500,938,8,1
2,7,530,367,20,0
6,10,500,391,5,0
4,6,500,255,13,1
4,8,550,1001,2,1
2,10,550,966,8,0
5,11,530,835,9,0
9,4,550,923,20,0
0,6,530,781,5,1
0,8,550,943,10,1
0,5,530,840,13,1
0,0,530,831,13,0
0,12,530,392,14,0
7,12,550,518,17,0
7,2,530,1211,17,0
1,9,550,1278,20,0
10,1,530,1014,14,1
6,11,550,268,11,0
2,0,550,371,16,0
7,12,500,344,7,0
0,2,500,1025,14,0
3,7,550,981,16,0
9,11,500,1417,3,1
5,7,550,420,9,0
1,7,550,1125,19,0
8,2,530,1483,18,0
4,12,550,821,2,1
6,4,530,723,12,0
6,5,530,1399,15,0
8,4,530,1465,6,0
10,2,530,1040,17,1
3,0,500,1178,5,1
7,5,550,1466,20,0
6,10,500,962,10,1
2,8,550,1543,1,0
10,8,500,913,19,1
4,3,550,279,2,0
8,9,530,1246,14,1
9,6,550,1298,14,1
2,3,530,328,11,0
4,5,500,1102,17,0
1,11,500,1009,18,0
10,0,550,732,16,0
10,9,500,1198,2,1
9,10,550,532,15,0
6,6,530,804,8,1
10,0,550,502,17,0
4,7,500,289,16,0
5,12,550,325,5,0
9,6,500,1403,5,1
2,3,550,710,10,0
4,10,550,1261,20,1
3,1,530,453,16,0
5,3,530,274,19,1
10,5,500,733,20,1
3,8,550,1260,19,1
3,8,500,587,18,0
3,6,530,507,4,0
1,12,530,878,10,1
3,2,530,707,3,1
2,4,530,416,20,0
1,11,500,343,16,0
4,10,500,1106,4,1
1,11,550,1498,11,1
0,11,500,817,7,0
7,3,550,659,11,1
10,10,500,1418,12,1
2,9,550,1130,2,1
1,11,530,259,20,0
8,12,530,673,10,0
7,8,530,783,15,1
4,5,500,384,20,1
10,8,530,1413,2,1
7,8,530,430,10,0
1,3,550,309,2,0
3,7,530,1152,2,1
1,12,550,773,5,1
6,7,500,821,14,1
4,1,530,903,12,0
5,3,500,1245,14,1
3,7,500,1319,1,1
3,1,530,424,13,0
10,4,500,1327,19,1
5,11,500,1204,14,0
0,8,530,724,12,1
10,3,550,865,14,0
0,4,550,1034,19,0
6,7,500,450,20,1
8,12,530,1066,8,1
6,0,550,857,11,1
5,7,550,303,16,1
2,0,550,307,15,0
1,12,530,237,16,0
2,11,550,958,12,1
3,8,550,492,19,1
10,12,500,387,20,0
5,10,550,1473,10,1
2,9,550,548,13,0
8,3,550,1001,7,1
6,10,530,1295,11,1
5,1,550,1548,6,0
5,0,530,1473,1,1
7,10,530,605,7,1
3,8,530,881,11,1
4,4,500,1492,20,1
10,0,550,615,11,0
8,6,500,990,18,1
10,8,530,1150,19,1
0,3,530,563,3,1
0,2,530,729,13,0
7,8,550,607,10,1
4,5,530,651,10,1
0,1,500,1392,10,0
6,12,530,971,20,1
0,0,500,1411,2,0
3,10,530,959,4,1
1,8,500,490,8,0
7,2,530,985,11,1
8,1,500,727,3,0
10,3,500,503,14,1
6,8,530,1456,2,1
3,1,530,922,7,1
9,9,550,1363,13,1
5,5,530,248,5,0
4,8,530,262,10,1
5,10,550,1154,12,1
0,10,530,1370,15,1
6,4,530,503,3,0
1,11,530,1439,1,1
9,10,550,971,4,1
0,1,500,221,2,1
5,9,500,702,16,1
6,11,550,682,9,0
5,4,550,446,10,0
10,9,550,1139,15,1
6,12,550,1027,15,1
2,5,550,838,19,1
7,6,530,569,15,1
4,2,500,1359,16,1
8,11,530,1246,7,1
6,5,530,342,5,0
9,10,530,1181,17,1
8,1,500,1136,4,0
10,5,550,1214,11,0
10,11,530,1345,19,1
7,10,550,386,8,1
0,3,530,1502,2,0
9,7,530,835,13,1
4,8,530,1079,15,0
9,6,500,374,12,0
1,8,550,1420,3,0
9,5,500,432,1,0
6,5,550,1548,18,1
10,0,550,1140,20,1
0,4,530,356,3,0
5,12,530,1249,16,1
2,11,500,1039,12,1
5,4,530,314,9,0
6,2,550,1188,11,0
10,1,550,1498,7,1
1,7,550,929,19,0
1,3,550,895,9,1
8,4,530,525,16,0
0,6,500,828,17,1
1,8,530,526,6,0
10,8,500,749,6,1
10,1,550,1498,19,1
0,3,500,543,13,0
0,3,500,628,17,1
10,1,500,420,19,1
8,5,550,1090,1,0
0,1,550,594,13,1
9,5,500,247,11,0
9,9,530,985,18,1
7,3,500,678,15,0
7,8,500,1360,4,1
0,2,500,1292,5,1
1,1,500,724,4,1
9,12,550,866,8,1
2,8,530,1370,11,0
9,12,500,1491,5,1
9,11,500,507,7,0
7,11,550,1424,14,1
9,2,500,934,18,0
6,0,500,1353,13,0
9,6,530,927,3,1
1,10,530,1081,5,0
10,11,550,1143,15,1
7,8,550,466,12,1
6,0,550,1119,4,0
2,0,500,1367,15,0
2,7,530,824,10,1
6,10,530,775,4,1
8,5,530,444,6,1
8,6,500,885,11,1
9,2,530,1128,11,1
2,9,500,765,7,1
7,2,530,1312,7,0
0,12,550,1473,4,1
2,5,500,815,7,1
10,5,550,421,9,1
9,4,500,889,4,1
10,0,550,473,3,1
2,3,530,676,16,1
0,11,550,1323,14,0
5,10,550,811,4,0
2,12,500,1183,8,0
3,0,500,1224,2,0
8,12,530,1335,7,1
6,12,500,749,14,1
7,10,530,615,17,0
8,7,530,1346,20,1
4,12,500,1245,3,1
1,9,500,1138,17,0
6,1,500,1061,6,0
8,4,500,647,16,0
4,7,500,908,10,0
8,10,530,1061,2,1
6,12,530,480,14,1
6,0,550,346,1,0
3,12,530,288,1,1
8,6,530,547,16,0
1,9,500,212,18,0
0,4,550,544,10,0
0,1,550,1455,19,0
1,9,550,320,18,1
7,5,530,422,4,1
3,1,550,1166,14,1
9,2,550,1471,20,1
5,7,500,440,17,0
6,2,530,1180,3,0
5,10,530,654,10,0
1,6,530,502,6,0
8,7,530,798,12,1
1,2,530,1126,20,1
5,4,500,378,1,0
4,11,550,310,8,0
0,3,530,400,17,1
6,6,500,307,15,1
3,6,550,251,10,0
0,4,530,1403,9,1
5,4,530,1451,19,0
0,6,550,710,7,0
10,9,500,1174,4,1
6,10,500,1292,2,1
6,9,500,1047,6,1
6,12,530,308,3,0
1,0,500,880,7,1
1,10,550,866,1,1
3,5,550,1283,7,1
3,4,530,1185,17,0
2,9,550,305,16,1
10,11,500,386,18,0
3,1,550,262,15,0
5,9,500,914,10,1
10,4,530,270,13,1
7,0,500,927,5,1
8,11,530,1213,9,1
3,0,500,316,18,1
7,9,550,910,18,1
6,12,530,1142,18,1
9,3,500,756,18,0
0,12,550,381,18,1
7,7,550,356,12,0
10,11,500,446,19,0
9,8,530,383,14,1
1,4,550,699,1,1
0,11,500,787,17,0
2,10,500,766,3,1
